,Class,Aspect,Period,Points
180,Control,Bystander View,Period 1,3
181,Control,Bystander View,Period 1,3
182,Control,Bystander View,Period 1,3
183,Control,Bystander View,Period 1,3
184,Control,Bystander View,Period 1,3
185,Control,Bystander View,Period 1,3
186,Control,Bystander View,Period 1,3
187,Control,Bystander View,Period 1,3
188,Control,Bystander View,Period 1,2
189,Control,Bystander View,Period 1,3
190,Control,Bystander View,Period 1,2
191,Control,Bystander View,Period 1,3
192,Control,Bystander View,Period 1,3
193,Control,Bystander View,Period 1,3
194,Control,Bystander View,Period 1,3
195,Control,Bystander View,Period 2,2
196,Control,Bystander View,Period 2,2
197,Control,Bystander View,Period 2,2
198,Control,Bystander View,Period 2,2
199,Control,Bystander View,Period 2,2
200,Control,Bystander View,Period 2,2
201,Control,Bystander View,Period 2,2
202,Control,Bystander View,Period 2,3
203,Control,Bystander View,Period 2,2
204,Control,Bystander View,Period 2,3
205,Control,Bystander View,Period 2,3
206,Control,Bystander View,Period 2,3
207,Control,Bystander View,Period 2,3
208,Control,Bystander View,Period 2,3
209,Control,Bystander View,Period 2,3
210,Control,Bystander View,Period 3,2
211,Control,Bystander View,Period 3,2
212,Control,Bystander View,Period 3,2
213,Control,Bystander View,Period 3,2
214,Control,Bystander View,Period 3,2
215,Control,Bystander View,Period 3,2
216,Control,Bystander View,Period 3,2
217,Control,Bystander View,Period 3,2
218,Control,Bystander View,Period 3,2
219,Control,Bystander View,Period 3,2
220,Control,Bystander View,Period 3,2
221,Control,Bystander View,Period 3,2
222,Control,Bystander View,Period 3,2
223,Control,Bystander View,Period 3,2
224,Control,Bystander View,Period 3,3
225,Control,Bystander View,Period 4,1
226,Control,Bystander View,Period 4,2
227,Control,Bystander View,Period 4,2
228,Control,Bystander View,Period 4,2
229,Control,Bystander View,Period 4,1
230,Control,Bystander View,Period 4,2
231,Control,Bystander View,Period 4,2
232,Control,Bystander View,Period 4,2
233,Control,Bystander View,Period 4,2
234,Control,Bystander View,Period 4,1
235,Control,Bystander View,Period 4,2
236,Control,Bystander View,Period 4,1
237,Control,Bystander View,Period 4,2
238,Control,Bystander View,Period 4,2
239,Control,Bystander View,Period 4,3
240,Control,Empathy,Period 1,3
241,Control,Empathy,Period 1,4
242,Control,Empathy,Period 1,3
243,Control,Empathy,Period 1,3
244,Control,Empathy,Period 1,3
245,Control,Empathy,Period 1,3
246,Control,Empathy,Period 1,3
247,Control,Empathy,Period 1,4
248,Control,Empathy,Period 1,1
249,Control,Empathy,Period 1,2
250,Control,Empathy,Period 1,2
251,Control,Empathy,Period 1,3
252,Control,Empathy,Period 1,3
253,Control,Empathy,Period 1,3
254,Control,Empathy,Period 1,3
255,Control,Empathy,Period 2,4
256,Control,Empathy,Period 2,4
257,Control,Empathy,Period 2,1
258,Control,Empathy,Period 2,1
259,Control,Empathy,Period 2,2
260,Control,Empathy,Period 2,3
261,Control,Empathy,Period 2,2
262,Control,Empathy,Period 2,3
263,Control,Empathy,Period 2,4
264,Control,Empathy,Period 2,4
265,Control,Empathy,Period 2,4
266,Control,Empathy,Period 2,3
267,Control,Empathy,Period 2,4
268,Control,Empathy,Period 2,3
269,Control,Empathy,Period 2,3
270,Control,Empathy,Period 3,3
271,Control,Empathy,Period 3,3
272,Control,Empathy,Period 3,1
273,Control,Empathy,Period 3,1
274,Control,Empathy,Period 3,2
275,Control,Empathy,Period 3,3
276,Control,Empathy,Period 3,3
277,Control,Empathy,Period 3,3
278,Control,Empathy,Period 3,3
279,Control,Empathy,Period 3,3
280,Control,Empathy,Period 3,3
281,Control,Empathy,Period 3,3
282,Control,Empathy,Period 3,4
283,Control,Empathy,Period 3,3
284,Control,Empathy,Period 3,3
285,Control,Empathy,Period 4,3
286,Control,Empathy,Period 4,3
287,Control,Empathy,Period 4,1
288,Control,Empathy,Period 4,1
289,Control,Empathy,Period 4,2
290,Control,Empathy,Period 4,3
291,Control,Empathy,Period 4,3
292,Control,Empathy,Period 4,3
293,Control,Empathy,Period 4,3
294,Control,Empathy,Period 4,3
295,Control,Empathy,Period 4,2
296,Control,Empathy,Period 4,3
297,Control,Empathy,Period 4,4
298,Control,Empathy,Period 4,1
299,Control,Empathy,Period 4,3
300,Control,Interpretations,Period 1,5
301,Control,Interpretations,Period 1,5
302,Control,Interpretations,Period 1,5
303,Control,Interpretations,Period 1,5
304,Control,Interpretations,Period 1,5
305,Control,Interpretations,Period 1,4
306,Control,Interpretations,Period 1,6
307,Control,Interpretations,Period 1,3
308,Control,Interpretations,Period 1,5
309,Control,Interpretations,Period 1,5
310,Control,Interpretations,Period 1,7
311,Control,Interpretations,Period 1,5
312,Control,Interpretations,Period 1,5
313,Control,Interpretations,Period 1,5
314,Control,Interpretations,Period 1,4
315,Control,Interpretations,Period 2,5
316,Control,Interpretations,Period 2,4
317,Control,Interpretations,Period 2,4
318,Control,Interpretations,Period 2,5
319,Control,Interpretations,Period 2,5
320,Control,Interpretations,Period 2,5
321,Control,Interpretations,Period 2,5
322,Control,Interpretations,Period 2,5
323,Control,Interpretations,Period 2,5
324,Control,Interpretations,Period 2,4
325,Control,Interpretations,Period 2,5
326,Control,Interpretations,Period 2,5
327,Control,Interpretations,Period 2,5
328,Control,Interpretations,Period 2,5
329,Control,Interpretations,Period 2,4
330,Control,Interpretations,Period 3,5
331,Control,Interpretations,Period 3,3
332,Control,Interpretations,Period 3,5
333,Control,Interpretations,Period 3,5
334,Control,Interpretations,Period 3,5
335,Control,Interpretations,Period 3,5
336,Control,Interpretations,Period 3,5
337,Control,Interpretations,Period 3,5
338,Control,Interpretations,Period 3,5
339,Control,Interpretations,Period 3,4
340,Control,Interpretations,Period 3,5
341,Control,Interpretations,Period 3,5
342,Control,Interpretations,Period 3,5
343,Control,Interpretations,Period 3,5
344,Control,Interpretations,Period 3,4
345,Control,Interpretations,Period 4,6
346,Control,Interpretations,Period 4,3
347,Control,Interpretations,Period 4,5
348,Control,Interpretations,Period 4,5
349,Control,Interpretations,Period 4,5
350,Control,Interpretations,Period 4,5
351,Control,Interpretations,Period 4,3
352,Control,Interpretations,Period 4,3
353,Control,Interpretations,Period 4,3
354,Control,Interpretations,Period 4,3
355,Control,Interpretations,Period 4,5
356,Control,Interpretations,Period 4,5
357,Control,Interpretations,Period 4,5
358,Control,Interpretations,Period 4,3
359,Control,Interpretations,Period 4,4
360,Control,Learning,Period 1,4
361,Control,Learning,Period 1,5
362,Control,Learning,Period 1,5
363,Control,Learning,Period 1,5
364,Control,Learning,Period 1,5
365,Control,Learning,Period 1,4
366,Control,Learning,Period 1,6
367,Control,Learning,Period 1,3
368,Control,Learning,Period 1,4
369,Control,Learning,Period 1,4
370,Control,Learning,Period 1,5
371,Control,Learning,Period 1,4
372,Control,Learning,Period 1,5
373,Control,Learning,Period 1,5
